Ano;Mes;Categoria;Sub-categoria;Producto;Pais;Cadena;Marca;Marca_propia;Peso_Volumen;Promocion;Precio_Normal;Precio_Oferta
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;Evian;0;0,750;0;10,59;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;Evian;0;0,750;0;10,59;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Benedetto;0;0,500;0;2,90;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Benedetto;0;1,500;0;5,70;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Benedetto;0;0,500;0;2,99;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Benedetto;0;1,500;0;5,70;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Carlos;0;0,500;0;1,20;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Carlos;0;0,500;0;1,20;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Luis;0;0,625;0;1,50;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Luis;0;0,625;0;1,50;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Mateo;0;0,600;0;1,50;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Mateo;0;0,600;0;1,50;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Pellegrino;0;0,750;0;9,20;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;San Pellegrino;0;0,750;0;9,20;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;Socosani;0;0,500;0;2,40;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;Socosani;0;0,500;0;2,40;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Continente;1;1,500;0;€0,39;
2022;Febrero;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Continente;1;1,500;0;€0,39;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Freize;0;0,750;0;€0,99;
2022;Febrero;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Freize;0;0,750;0;€0,99;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Piedras Saladas;0;0,500;0;€0,99;
2022;Febrero;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Piedras Saladas;0;0,500;0;€0,99;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Robles;0;1,500;0;€0,84;
2022;Febrero;Aguas;Agua mineral;Agua con gas;Portugal;Continente;Robles;0;1,500;0;€0,84;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Portugal;Continente;San Pelegrino;0;1,000;0;€1,49;
2022;Febrero;Aguas;Agua mineral;Agua con gas;Portugal;Continente;San Pelegrino;0;1,000;0;€1,49;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Portugal;Pingo Doce;Pingo Doce;1;0,250;0;€1,39;
2022;Febrero;Aguas;Agua mineral;Agua con gas;Portugal;Pingo Doce;Pingo Doce;1;0,250;0;€1,39;
2022;Febrero;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Harrogate;0;1,000;0;£0,95;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Highland Spring;0;1,500;0;£0,95;
2022;Febrero;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Highland Spring;0;1,500;0;£1,00;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Hubbard’s Foodstore;1;1,000;0;£0,17;
2022;Febrero;Aguas;Agua mineral;Agua con gas;UK;Sainsbury’s;Hubbard’s Foodstore;1;2,000;0;£0,18;
